season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Fairmount,Fairmount Line,929,0,day_type_01,weekday,1/1/2024 12:00,Four Corners/Geneva,4.0,1,7,17,15224
Fall 2024,CR-Fairmount,Fairmount Line,929,0,day_type_01,weekday,1/1/2024 12:03,Talbot Avenue,5.0,1,7,11,15225
Fall 2024,CR-Fairmount,Fairmount Line,929,0,day_type_01,weekday,1/1/2024 12:06,Morton Street,6.0,0,3,8,15226
Fall 2024,CR-Fairmount,Fairmount Line,929,0,day_type_01,weekday,1/1/2024 12:08,Blue Hill Avenue,7.0,1,4,5,15227
Fall 2024,CR-Fairmount,Fairmount Line,929,0,day_type_01,weekday,1/1/2024 12:13,Fairmount,8.0,0,5,0,15228
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 12:33,Fairmount,1.0,15,0,15,15229
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 12:36,Blue Hill Avenue,2.0,7,0,22,15230
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 12:38,Morton Street,3.0,10,0,32,15231
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 12:41,Talbot Avenue,4.0,10,1,41,15232
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 12:44,Four Corners/Geneva,5.0,8,1,48,15233
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 12:47,Uphams Corner,6.0,8,1,55,15234
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 12:49,Newmarket,7.0,1,10,46,15235
Fall 2024,CR-Fairmount,Fairmount Line,930,1,day_type_01,weekday,1/1/2024 13:00,South Station,8.0,0,46,0,15236
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:17,South Station,1.0,17,0,17,15237
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:25,Newmarket,2.0,4,0,21,15238
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:27,Uphams Corner,3.0,5,2,24,15239
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:30,Four Corners/Geneva,4.0,0,1,23,15240
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:33,Talbot Avenue,5.0,2,2,23,15241
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:36,Morton Street,6.0,0,5,18,15242
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:38,Blue Hill Avenue,7.0,2,6,14,15243
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:41,Fairmount,8.0,1,7,8,15244
Fall 2024,CR-Fairmount,Fairmount Line,933,0,day_type_01,weekday,1/1/2024 12:55,Newmarket,2.0,1,0,22,15245
Fall 2024,CR-Fairmount,Fairmount Line,908,1,day_type_01,weekday,1/1/2024 7:11,Talbot Avenue,5.0,28,3,143,15246
Fall 2024,CR-Fairmount,Fairmount Line,931,0,day_type_01,weekday,1/1/2024 12:47,Readville,9.0,0,8,0,15247
Fall 2024,CR-Fairmount,Fairmount Line,932,1,day_type_01,weekday,1/1/2024 13:00,Readville,1.0,14,0,14,15248
